x,y,z,vx,vy,vz,m,id
-1.1524249,2.6742232,1.6760259,0.18374911,-0.19736862,-0.14185318,1.5625001e-05,1797
-0.11080591,-1.1051117,4.5203261,-0.055412844,0.068666004,-0.2481274,1.5625001e-05,3150
0.2666086,0.48740658,-0.027644735,0.065782316,-0.44722116,-0.35949928,1.5625001e-05,4591
-2.3152804,-4.5636063,0.63308465,0.12714952,-0.027407842,-0.014732665,1.5625001e-05,5856
-0.63597906,0.29512504,1.0643421,-0.19056864,-0.19997969,-0.64605814,1.5625001e-05,6621
-0.026794717,-1.4536542,0.18092732,-0.1042942,-0.58438522,0.36040646,1.5625001e-05,8011
-1.0161921,3.8590181,15.985077,0.029998615,-0.067502126,-0.25100309,1.5625001e-05,10466
0.5061937,-0.24637502,0.11113574,0.27919391,-0.94512111,-0.82430589,1.5625001e-05,16750
1.9169798,2.0816875,-2.1699548,-0.10189607,-0.060175668,0.11660011,1.5625001e-05,19600
1.5079632,-0.28734499,-0.79385376,0.15125248,0.034988761,0.0044480613,1.5625001e-05,22770
-1.9531165,-0.36935374,-0.20559065,-0.7341193,-0.1391838,-0.075435936,1.5625001e-05,23650
0.28136009,0.042883389,-0.34892601,-0.91634262,0.36839128,1.0590166,1.5625001e-05,26765
0.95343065,-1.9322829,0.44176874,-0.40899679,0.45636433,0.085676476,1.5625001e-05,26771
0.17540276,0.75193483,0.50178844,0.57431662,0.40688121,0.38727552,1.5625001e-05,29582
0.094052032,-0.091711745,0.31524411,1.1012,0.57321906,-0.33477613,1.5625001e-05,34497
1.0360987,-0.12704548,1.8951488,-0.034175027,-0.040122963,0.084248506,1.5625001e-05,35526
0.86209249,0.29711464,1.0690609,0.13796145,-0.23161358,0.045616161,1.5625001e-05,38199
0.69271249,-1.2407637,-1.945943,0.06160086,0.18845764,0.084573612,1.5625001e-05,46544
1.8867393,-0.66223079,0.38112304,-0.34131157,0.23097631,0.046058543,1.5625001e-05,46586
0.37421212,0.50306636,-0.085125908,-1.0031036,0.16585894,-0.12901236,1.5625001e-05,47597
0.10249865,0.060213324,-0.090500534,1.0923027,0.77391958,0.74901694,1.5625001e-05,49827
0.38343775,0.49169001,-0.27586412,0.12631579,-0.3923904,0.34496251,1.5625001e-05,50170
0.3448588,-2.6589162,-0.69997317,-0.31755161,0.031102611,-0.15626366,1.5625001e-05,50534
-0.095692351,-0.76378512,0.85991299,-0.026378009,0.41282922,-0.34973514,1.5625001e-05,53000
-1.4690465,0.0186469,0.17552224,-0.26784551,0.37981471,-0.25304314,1.5625001e-05,54442
-3.1300402,-1.3874333,1.4429487,0.30496943,0.03491839,-0.15793408,1.5625001e-05,57698
0.16184409,0.64355642,1.2994611,-0.073649824,-0.46022671,-0.33957151,1.5625001e-05,57839
2.1816325,-0.81943929,-0.99671149,-0.32614574,0.092306182,0.09538395,1.5625001e-05,59117
-1.2638693,1.4171605,-1.0603936,0.16557764,-0.043964278,0.17271803,1.5625001e-05,59636
-5.4565625,-0.91062814,2.3085737,-0.15778627,-0.0040873014,0.073134683,1.5625001e-05,63358
